Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an adversary using a network sniffer to capture data, such as login credentials, transferred between systems within a network?	Exfiltration Over Alternative Protocol (T1048)	Remote Desktop Protocol (T1076)	Packet Sniffing (T1040)	Exploitation for Defense Evasion (T1211)	C	Packet Sniffing (T1040) is the correct answer as it specifically involves capturing data transmitted between systems in a network, which aligns with the scenario described in the question. Exfiltration Over Alternative Protocol (T1048) relates to using alternative protocols for
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary exploiting an authenticated session to access a user's mailbox through a web interface without the need for user credentials?	Account Discovery (T1087)	External Remote Services (T1133)	Valid Accounts (T1078)	Inbox Rules (T1114)	D	Inbox Rules (T1114) allows an adversary to manipulate the victim's email rules to redirect emails to an external location, gaining access to sensitive information without requiring user credentials.
Which MITRE ATT&CK technique involves an adversary creating or obtaining malicious software, tools, or other assets to use in an operation that can be deployed to target systems?	Execution: Malicious Command	Defense Evasion: Masquerading	Initial Access: External Remote Services	Execution: Command and Scripting Interpreter	C	Adversaries use the Execution: Command and Scripting Interpreter technique to run malicious commands or scripts on a target system. This technique involves the creation or obtaining of malicious software or tools for deployment.
In the MITRE ATT&CK Enterprise framework, which technique is specifically designed to exploit a vulnerability in a web server to gain unauthorized access to a system?	Process Injection (T1055) - Process Injection	Exploit Public-Facing Application (T1190) - Exploit Public-Facing Application	External Remote Services (T1133) - External Remote Services	Exploitation for Privilege Escalation (T1068) - Exploitation for Privilege Escalation	B	Exploit Public-Facing Application (T1190) - Exploit Public-Facing Application is focused on exploiting a vulnerability in a public-facing application,
Which MITRE ATT&CK technique involves an adversary using a script to execute malicious commands in a macOS environment?	Execution through Module Load	Scripting	OS Credential Dumping	Process Injection	B	Adversaries may use scripting techniques to execute malicious commands on a target macOS system, representing a tactic within the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an attacker manipulating or modifying an existing file on the victim's system to execute malicious code without changing the file's functionality?	T1213 Data Encoding	T1027 Obfuscated Files or Information	T1190 Exploit Public-Facing Application	T1023 Shortcut Modification	B	T1023 Shortcut Modification (Enterprise) is the MITRE ATT&CK technique where an attacker manipulates or modifies an existing file on the victim's system, typically a shortcut file, to execute malicious code without changing the file's functionality.
Which MITRE ATT&CK technique involves the use of tools like Mimikatz to extract credentials from memory?	T1078 - Valid Accounts	T1003 - OS Credential Dumping	T1001 - Data Obfuscation	T1070.004 - File Deletion	B	T1003 - OS Credential Dumping involves techniques for dumping credentials from the operating system; in this case, using tools like Mimikatz to extract credentials from memory falls under this category.
Which MITRE ATT&CK technique involves an adversary using spearphishing emails with malicious attachments to deliver a payload?	T1193 - Spearphishing Attachment	T1566.001 - Spearphishing Attachment	T1566.002 - Spearphishing Link	T1204 - User Execution	B	T1566.001 - Spearphishing Attachment involves using spearphishing emails with malicious attachments to deliver a payload, making it a common tactic among threat actors targeting organizations.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using known software vulnerabilities to gain unauthorized access to systems?	Exploit Public-Facing Application (T1190)	Exploitation for Client Execution (T1203)	Credential Dumping (T1003)	Application Layer Protocol (T1071)	A	Exploit Public-Facing Application (T1190) refers to adversaries targeting software that is accessible from the internet, exploiting known vulnerabilities to gain unauthorized access. This technique focuses on exploiting weaknesses in public-facing applications, highlighting the importance of patch management and secure configurations.
Which MITRE ATT&CK technique involves an adversary employing software, tools, or platforms that are built for legitimate purposes?	Execution through Module Load	Trusted Relationship	Component Firmware	Software Manipulation	B	Trusted Relationship involves an adversary leveraging trusted relationships between systems to their advantage, often using software, tools, or platforms that are built for legitimate purposes to bypass security mechanisms.
Which MITRE ATT&CK technique involves an adversary collecting information on the target by leveraging the Active Directory replication services in an Enterprise environment?	Reconnaissance via Active Directory	Replication Through Removable Media	Remote System Discovery	Valid Accounts	A	Reconnaissance via Active Directory (T1003) involves collecting information from Active Directory through replication services, enabling an adversary to gather valuable insights on the target's network structure and user accounts.
Which MITRE ATT&CK technique involves an adversary using a legitimate system administration tool for malicious purposes in the Enterprise environment?	Process Injection (T1055)	Valid Accounts (T1078)	Execution through API (T1106)	Remote File Copy (T1105)	B	Adversaries may abuse legitimate administration tools like PsExec or Windows Management Instrumentation for unauthorized activities, falling under the Valid Accounts (T1078) technique in the MITRE ATT&CK framework for Enterprise environments.
Which MITRE ATT&CK technique involves an adversary exploiting trust in third-party applications or services to hide malicious activity?	T1190 - Exploit Public-Facing Application	 T1553 - Subvert Trust Controls	T1112 - Modify Authentication Process	T1021 - Remote Services	B	"T1553 - Subvert Trust Controls (also known as ""Compromise Trust Relationship"") involves exploiting trust in third-party applications or services to conceal malicious actions."
In the context of MITRE ATT&CK for Enterprise, which technique involves an attacker modifying a trusted executable to include malicious code for achieving persistence?	Process Injection (T1055)	Execution through API (T1106)	Trusted Relationship (T1199)	Trap (T1154)	A	Process Injection (T1055) refers to an attacker modifying a trusted executable to include malicious code, enabling persistence through execution of the modified code.
Which MITRE ATT&CK technique involves an attacker using malicious software to encrypt files on a victim's system and demand ransom for decryption?	Secure Socket Layer (SSL) VPN Abuse	Ransomware (T1486.001)	Exfiltration Over Alternative Protocol (T1048)	Data Encrypted for Impact (T1486)	D	Ransomware (T1486.001) is the technique involving an attacker encrypting files on a victim's system and demanding ransom for decryption.
Which MITRE ATT&CK technique involves an adversary creating a new account on a system to maintain persistence, using a valid username and password?	Scheduled Task	Valid Accounts	Account Manipulation	Valid Accounts: Domain Accounts	B	"Adversaries may create a new account on a system to maintain persistence. The technique ""Valid Accounts: Domain Accounts"" (T1078.004) specifically involves creating an account using valid domain credentials."
Which MITRE ATT&CK technique involves an adversary manipulating data structures or code logic within a running process to evade detection?	Process Injection (T1055)	Utility Reference Moniker (T1021)	Obfuscated Files or Information (T1027)	Trusted Relationship (T1199)	A	Process Injection (T1055) involves manipulating data structures or code logic within a running process to evade detection, making it a common tactic used by threat actors to hide their activities.
Which MITRE ATT&CK technique involves an adversary using a custom tool to gather information about the target network within the Enterprise platform?	Discovery: Network Service Scanning (T1046)	Execution: Command and Scripting Interpreter (T1059)	Credential Dumping: NTDS (T1003.001)	Collection: Automated Collection (T1119)	A	Adversaries use Discovery: Network Service Scanning (T1046) to identify services and gather information about the target network, aiding in the mapping of network resources and identifying vulnerabilities.
Which MITRE ATT&CK technique involves an adversary sending an email to a target that contains a malicious attachment or link to deliver a payload?	Execution: User Execution	Lateral Movement: Pass the Ticket	Social Engineering: Spearphishing Attachment	Defense Evasion: Masquerading as Legitimate Application	C	Social Engineering: Spearphishing Attachment is a technique where adversaries send emails with malicious attachments or links to trick targets into executing the payload. This technique relies on social engineering tactics to deceive victims.
Which MITRE ATT&CK Enterprise technique involves an adversary using valid accounts to log into a service and perform actions?	Spearphishing Attachment (T1193)	Valid Accounts (T1078)	Web Shell (T1505)	Data Encrypted for Impact (T1486)	B	Adversaries may use Valid Accounts (T1078) to log into a service and carry out malicious activities, leveraging legitimate access for unauthorized actions.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using a malicious application to capture keystrokes on a compromised system?	Keylogging (T1114)	Screen Capture (T1113)	Input Capture (T1056)	Clipboard Data (T1115)	A	Input Capture (T1056) refers to an adversary capturing input from keyboards or other input devices. Keylogging (T1114) specifically focuses on capturing keystrokes. The other options are not directly related to capturing keystrokes.
"Which MITRE ATT&CK technique ID is associated with the tactic ""Defense Evasion"" in the Enterprise platform?"	A. T1059 - Command-Line Interface	B. T1112 - Modify Registry	C. T1089 - Disabling Security Tools	D. T1134 - Access Token Manipulation	C	T1089 - Disabling Security Tools is the correct answer as it falls under the Defense Evasion tactic in the Enterprise platform according to MITRE ATT&CK framework.
Which MITRE ATT&CK technique, often used in privilege escalation, involves an adversary using a previously stolen credential to gain further access within an environment?	Spearphishing Attachment (T1193)	Theft of Credentials (T1555)	Valid Accounts (T1078)	Credential Dumping (T1003)	B	Theft of Credentials (T1555)
Which MITRE ATT&CK technique involves an attacker utilizing a malicious USB device to gain access to a target system?	 A) Hardware Additions	 B) Exploitation for Client Execution	 C) Boot or Logon Autostart Execution	 D) Peripheral Device Discovery	 A	Attackers can leverage the Hardware Additions technique (T1200 - Hardware Additions) to introduce a malicious USB device into a target system and gain unauthorized access. Exploitation for Client Execution (T1203), Boot or Logon Autostart Execution (T1547), and Peripheral Device Discovery (T1120) are not directly related to this specific
Which MITRE ATT&CK technique involves an adversary gaining initial access to a victim's system through a phishing email containing a malicious attachment?	 A. T1192 - Spearphishing Attachment	B. T1116 - Spearphishing Link	C. T1566.001 - Phishing	D. T1204 - User Execution	A	T1192 - Spearphishing Attachment specifically refers to adversaries sending spearphishing emails with malicious attachments to gain initial access.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to harvest credentials from a targeted organization's employees?	Exfiltration Over C2 Channel	Phishing	Remote System Discovery	Valid Accounts	B	Phishing is a social engineering technique used by adversaries to deceive individuals into providing sensitive information such as login credentials. In this scenario, the adversary sends emails with malicious attachments to harvest credentials from employees within the targeted organization.
Which technique from the MITRE ATT&CK framework, specifically targeting the Enterprise platform, involves an adversary using a known vulnerability in a web server to gain unauthorized access to the system?	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	A	Exploit Public-Facing Application (T1190) involves an adversary exploiting a vulnerability in a public-facing application, which aligns with the scenario described in the question.
Which MITRE ATT&CK technique involves an adversary using a remote access tool to communicate with systems on a compromised network?	Spearphishing Attachment (T1193)	Lateral Tool Transfer (T1570)	Remote Desktop Protocol (T1076)	Command and Control (T1043)	B	Command and Control (T1043)
Which MITRE ATT&CK technique involves an adversary using valid accounts to log into a system and perform malicious activities while attempting to appear as a legitimate user?	Spearphishing Attachment (T1193)	Valid Accounts (T1078)	Brute Force (T1110)	Credential Dumping (T1003)	B	Adversaries use valid accounts (T1078) to blend in and evade detection, making it a key technique for disguising their activities. Spearphishing Attachment (T1193) involves sending malicious attachments via email, not the use of valid accounts. Brute Force (T1110) and Credential
Which MITRE ATT&CK technique involves an adversary sending malicious requests to a web server to exploit a vulnerability that allows for remote code execution?	T1190 - Exploit Public-Facing Application	 T1560 - Archive Collected Data	 T1071 - Application Layer Protocol	 T1100 - Web Service	 A	T1190 - Exploit Public-Facing Application corresponds to the activity of an adversary exploiting a vulnerability in a public-facing application to gain initial access. This technique aligns with the scenario described in the question where the adversary targets a web server for remote code execution.
Which MITRE ATT&CK technique involves an adversary sending malicious emails with a link to a compromised website to deceive users into divulging their credentials?	Account Discovery (T1087)	Phishing (T1566.001)	Drive-by Compromise (T1189)	Web Service (T1102)	B	Phishing (T1566.001) is the correct answer as it specifically refers to sending malicious emails with links to deceive users, leading to credential theft. The other options involve different techniques not directly related to the described scenario.
Which MITRE ATT&CK technique involves an adversary injecting malicious code into a legitimate process to evade detection and gain persistence on the system?	MITRE ATT&CK T1055 - Process Injection	MITRE ATT&CK T1027 - Obfuscated Files or Information	MITRE ATT&CK T1112 - Modify Registry	MITRE ATT&CK T1082 - System Information Discovery	A	MITRE ATT&CK technique T1055 - Process Injection involves adversaries injecting malicious code into a legitimate process to avoid detection and establish persistence on the compromised system. This technique is commonly used in various stages of an attack, including initial access, execution,
